id,phase,block,seq_id,weight1,weight2,weight3,weight4,sorted1,sorted2,sorted3,sorted4,evidence,p_left,n_different,response,rt,rank_cue1,rank_cue2,rank_cue3,rank_cue4,c1_left,c2_left,c3_left,c4_left,c1_right,c2_right,c3_right,c4_right
310,1,2,240,0,0,0,0,0,0,0,0,0,0.5,0,1,1.432058539,3,2,1,4,2,2,2,2,2,2,2,1
310,1,2,126,0,-0.6,-0.9,0,-0.9,-0.6,0,0,-1.5,0.03065343,2,1,1.612953176,3,2,1,4,2,2,1,1,1,1,1,1
310,1,2,192,-0.3,0,0,0,0,0,-0.3,0,-0.3,0.333860575,1,1,1.64165248,3,2,1,4,1,2,2,1,1,2,1,2
310,1,2,170,-0.3,0,0,0,0,0,-0.3,0,-0.3,0.333860575,1,-1,2.016070529,3,2,1,4,2,1,2,2,2,1,1,2
310,1,2,230,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,-1,2.188575634,3,2,1,4,2,2,2,2,2,1,2,1
310,1,2,196,0,0,0,0,0,0,0,0,0,0.5,0,-1,1.643884146,3,2,1,4,2,2,1,2,2,2,1,1
310,1,2,188,-0.3,0.6,0,0,0,0.6,-0.3,0,0.3,0.666139425,2,1,1.629583418,3,2,1,4,1,1,2,1,1,2,1,2
310,1,2,168,-0.3,0,0.9,0,0.9,0,-0.3,0,0.6,0.799239991,2,-1,1.555365373,3,2,1,4,1,1,2,2,2,1,1,2
310,1,2,236,0,0,-0.9,0,-0.9,0,0,0,-0.9,0.11181577,1,1,1.35829278,3,2,1,4,2,2,2,1,1,2,2,1
310,1,2,124,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,-1,1.60708543,3,2,1,4,1,2,1,1,1,1,1,1
310,1,2,198,-0.3,0.6,0.9,0,0.9,0.6,-0.3,0,1.2,0.940649057,3,-1,1.309122223,3,2,1,4,1,1,2,2,2,2,1,1
310,1,2,29,0.3,0.6,0.9,0,0.9,0.6,0.3,0,1.8,0.984398338,3,-1,2.017316198,3,2,1,4,1,1,1,2,2,2,2,2
310,1,2,79,0.3,-0.6,0,0,0,-0.6,0.3,0,-0.3,0.333860575,2,1,1.284614264,3,2,1,4,2,2,1,1,2,1,2,1
310,1,2,63,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,-1,1.951267702,3,2,1,4,1,2,1,1,1,2,2,2
310,1,2,136,0,0,-0.9,0,-0.9,0,0,0,-0.9,0.11181577,1,1,1.159498284,3,2,1,4,2,1,1,1,1,1,1,2
310,1,2,83,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,-1,0.959820084,3,2,1,4,2,2,1,1,2,2,2,1
310,1,2,37,0.3,0,0,0,0,0,0.3,0,0.3,0.666139425,1,1,1.27119108,3,2,1,4,2,1,1,1,2,1,2,1
310,1,2,156,-0.3,0,0.9,0,0.9,0,-0.3,0,0.6,0.799239991,2,1,2.39000687,3,2,1,4,1,1,2,2,2,1,1,1
310,1,2,89,0.3,0,-0.9,0,-0.9,0,0.3,0,-0.6,0.200760009,2,1,1.238187188,3,2,1,4,2,2,1,2,1,2,2,1
310,1,2,59,0.3,-0.6,0,0,0,-0.6,0.3,0,-0.3,0.333860575,2,1,1.548088424,3,2,1,4,1,2,1,1,1,1,2,2
310,1,2,117,0,0,0.9,0,0.9,0,0,0,0.9,0.88818423,1,-1,1.925013548,3,2,1,4,1,2,2,1,2,2,2,2
310,1,2,7,0,0.6,0.9,0,0.9,0.6,0,0,1.5,0.96934657,2,1,1.559262835,3,2,1,4,1,1,1,1,2,2,1,2
310,1,2,166,0,-0.6,0,0,0,-0.6,0,0,-0.6,0.200760009,1,1,1.645748031,3,2,1,4,2,2,1,2,2,1,1,2
